position_id,x_coord,y_coord,position_type,type_identifier,importance_level,failure_rate
25200,274,536,1,跑道,5,0.02
25201,291,546,1,跑道,5,0.02
25202,308,542,1,跑道,4,0.03
25203,315,300,1,跑道,4,0.03
25204,297,287,1,跑道,5,0.02
25205,279,279,1,跑道,5,0.02
25206,262,26,1,跑道,5,0.02
25207,249,19,1,跑道,5,0.02
25208,237,9,1,跑道,5,0.02
25209,220,6,1,跑道,5,0.02
25210,207,6,1,跑道,5,0.02
25211,195,6,1,跑道,5,0.02
25212,161,7,1,跑道,5,0.02
25213,150,6,1,跑道,5,0.02
25214,139,6,1,跑道,5,0.02
25215,129,26,1,跑道,5,0.02
25216,118,6,1,跑道,5,0.02
25217,246,22,2,加油站,4,0.03
25218,235,13,2,加油站,4,0.03
25219,220,24,2,加油站,4,0.03
25220,207,11,2,加油站,4,0.03
25221,195,11,2,加油站,4,0.03
25222,161,11,2,加油站,4,0.03
25223,150,25,2,加油站,4,0.03
25224,139,11,2,加油站,4,0.03
25225,129,26,2,加油站,4,0.03
25226,118,11,2,加油站,4,0.03
25227,83,9,3,供电站,3,0.04
25228,49,9,3,供电站,4,0.03
25229,38,8,3,供电站,4,0.03
25230,24,12,3,供电站,3,0.04
25231,17,62,3,供电站,4,0.03
25232,30,70,3,供电站,4,0.03
25233,41,75,3,供电站,4,0.03
25234,87,76,3,供电站,4,0.03
25235,7,53,4,维修点,3,0.05
25236,5,44,4,维修点,3,0.05
25237,6,34,4,维修点,3,0.05
25238,9,24,4,维修点,3,0.05
25239,184,50,3,维修点,3,0.04
25240,175,48,4,维修点,3,0.05
25241,165,47,4,维修点,3,0.05
25242,155,45,4,维修点,3,0.05
25243,145,43,4,维修点,3,0.05
25244,135,42,4,维修点,3,0.05
25245,225,26,5,测试点,4,0.03
25246,225,46,5,测试点,4,0.03
25247,128,62,5,测试点,4,0.03
25248,114,75,5,测试点,5,0.02
25249,183,7,6,行李装卸点,5,0.02
25250,172,7,6,行李装卸点,5,0.02
25251,107,7,6,行李装卸点,5,0.02
25252,96,7,6,行李装卸点,5,0.02
25253,69,78,6,行李装卸点,5,0.02
25254,59,78,6,行李装卸点,5,0.02
25255,281,41,7,送餐点,2,0.06
25256,220,68,7,送餐点,2,0.06
25257,179,65,7,送餐点,2,0.06
25258,132,68,7,送餐点,2,0.06
25259,202,26,8,清洁点,4,0.03
25260,202,45,8,清洁点,4,0.03
25261,108,62,8,清洁点,4,0.03
25262,95,75,8,清洁点,5,0.02
25263,109,27,9,停靠点,3,0.04
25264,257,44,9,停靠点,5,0.02
25265,135,30,9,停靠点,3,0.04
25266,154,24,9,停靠点,3,0.04
25267,154,36,9,停靠点,3,0.04
25268,178,25,9,停靠点,3,0.04
25269,174,38,9,停靠点,3,0.04
25270,192,25,9,停靠点,3,0.04
25271,238,36,9,停靠点,5,0.02
25272,228,31,9,停靠点,5,0.02
25273,211,30,9,停靠点,5,0.02
25274,199,43,9,停靠点,5,0.02
25275,207,67,9,停靠点,5,0.02
