source_id,target_id,relation_type,relation_strength,physical_distance
25200,25201,connection,0.92,17.03
25201,25202,connection,0.90,17.12
25202,25203,connection,0.75,242.07
25203,25204,connection,0.88,20.62
25204,25205,connection,0.91,25.46
25206,25207,connection,0.94,15.00
25207,25208,connection,0.92,14.32
25208,25209,connection,0.90,17.49
25209,25210,connection,0.93,13.00
25210,25211,connection,0.95,12.00
25211,25212,connection,0.80,34.00
25212,25213,connection,0.94,11.00
25213,25214,connection,0.93,11.00
25214,25215,connection,0.82,23.35
25215,25216,connection,0.85,22.47
25217,25218,connection,0.90,14.32
25218,25219,connection,0.82,19.24
25219,25220,connection,0.83,18.03
25220,25221,connection,0.95,12.00
25221,25222,connection,0.80,34.00
25222,25223,connection,0.81,26.93
25223,25224,connection,0.83,22.47
25224,25225,connection,0.80,21.59
25225,25226,connection,0.84,17.49
25227,25228,connection,0.75,34.00
25228,25229,connection,0.85,11.18
25229,25230,connection,0.76,16.12
25230,25231,connection,0.65,53.00
25231,25232,connection,0.78,16.28
25232,25233,connection,0.88,13.00
25233,25234,connection,0.70,46.10
25235,25236,connection,0.92,9.22
25236,25237,connection,0.90,10.05
25237,25238,connection,0.89,11.18
25238,25230,connection,0.68,20.62
25239,25240,connection,0.92,9.49
25240,25241,connection,0.94,10.30
25241,25242,connection,0.93,10.44
25242,25243,connection,0.91,10.77
25243,25244,connection,0.89,10.44
25245,25246,connection,0.75,20.00
25246,25239,connection,0.65,46.10
25247,25248,connection,0.85,17.20
25248,25253,connection,0.62,48.47
25249,25250,connection,0.94,11.00
25250,25268,connection,0.65,33.73
25251,25252,connection,0.90,11.00
25252,25263,connection,0.65,27.78
25253,25254,connection,0.92,10.00
25254,25234,connection,0.70,28.79
25255,25264,connection,0.42,61.40
25256,25275,connection,0.60,14.32
25257,25269,connection,0.55,30.61
25258,25247,connection,0.60,13.93
25259,25260,connection,0.78,19.00
25260,25274,connection,0.68,24.04
25261,25262,connection,0.82,14.32
25262,25254,connection,0.63,36.06
25263,25265,connection,0.80,26.93
25264,25271,connection,0.84,20.62
25265,25266,connection,0.75,22.36
25266,25267,connection,0.88,12.00
25267,25269,connection,0.82,21.63
25268,25270,connection,0.76,14.00
25269,25274,connection,0.68,29.73
25270,25273,connection,0.75,19.24
25271,25272,connection,0.92,11.18
25272,25273,connection,0.88,17.12
25273,25274,connection,0.80,17.89
25274,25275,connection,0.78,25.00
25200,25264,influence,0.72,104.98
25201,25200,influence,0.90,17.03
25201,25204,influence,0.56,259.88
25203,25202,influence,0.70,242.25
25205,25204,influence,0.85,20.62
25207,25217,influence,0.70,6.40
25209,25219,influence,0.78,18.68
25211,25221,influence,0.82,5.00
25213,25223,influence,0.80,19.00
25217,25206,influence,0.75,16.00
25219,25218,influence,0.76,13.00
25221,25220,influence,0.80,13.00
25223,25222,influence,0.72,26.93
25225,25224,influence,0.75,17.49
25226,25216,influence,0.65,5.00
25227,25263,influence,0.58,29.00
25228,25227,influence,0.72,34.00
25229,25228,influence,0.78,11.18
25231,25229,influence,0.52,59.03
25233,25232,influence,0.82,13.00
25240,25239,influence,0.85,9.49
25242,25241,influence,0.88,10.44
25244,25243,influence,0.86,10.77
25245,25259,influence,0.74,23.00
25246,25260,influence,0.82,23.00
25247,25261,influence,0.78,20.00
25248,25262,influence,0.88,19.00
25249,25222,influence,0.60,22.47
25250,25249,influence,0.85,11.00
25251,25223,influence,0.54,45.28
25253,25248,influence,0.68,48.47
25255,25205,influence,0.38,250.27
25258,25265,influence,0.42,44.42
25260,25246,influence,0.76,23.00
25262,25248,influence,0.90,19.00
25264,25271,influence,0.82,20.62
25266,25263,influence,0.65,45.28
25267,25265,influence,0.75,19.21
25269,25267,influence,0.72,21.63
25271,25202,influence,0.62,506.64
25273,25245,influence,0.60,14.00
25274,25260,influence,0.70,24.04
25275,25256,influence,0.65,13.60
